_id,version,acc,avg_pre,avg_recall,avg_f1,task,pretrained,classifier
666303319ddf9bcb2e39420f,1,0.9861,0.4931,0.7684,0.5926,,,
666fc9746f28561e0839dc97,2,0.9861111111111112,0.4930555555555556,0.7684186092146202,0.5926409837774096,acsa,vinai/phobert-base,cnn
666fcbe86f28561e0839dc9c,3,0.9861111111111112,0.4930555555555556,0.7684186092146211,0.5926409837774103,acsa,vinai/phobert-base,cnn
666fce5b6f28561e0839dca1,4,0.9861111111111112,0.4930555555555556,0.7684186092146206,0.5926409837774098,acsa,vinai/phobert-base,cnn
666fd18b6f28561e0839dca6,5,0.9861111111111112,0.4930555555555556,0.7684186092146209,0.5926409837774098,acsa,vinai/phobert-base,cnn
666fd3f86f28561e0839dcab,6,0.9861111111111112,0.4930555555555556,0.7684186092146218,0.5926409837774087,acsa,vinai/phobert-base,cnn
666fd6656f28561e0839dcb0,7,0.9861111111111112,0.4930555555555556,0.7684186092146215,0.5926409837774091,acsa,vinai/phobert-base,cnn
666fd8d06f28561e0839dcb5,8,0.9861111111111112,0.4930555555555556,0.7684186092146202,0.59264098377741,acsa,vinai/phobert-base,cnn
666fdbff6f28561e0839dcba,9,0.9861111111111112,0.4930555555555556,0.7684186092146205,0.5926409837774099,acsa,vinai/phobert-base,cnn
666fde6c6f28561e0839dcbf,10,0.9861111111111112,0.4930555555555556,0.7684186092146208,0.59264098377741,acsa,vinai/phobert-base,cnn
666fe0d86f28561e0839dcc4,11,0.9861111111111112,0.4930555555555556,0.7684186092146212,0.5926409837774098,acsa,vinai/phobert-base,cnn
