_id,version,acc,avg_pre,avg_recall,avg_f1
666303319ddf9bcb2e39420f,1,0.951,0.5844,0.7359,0.642
666c0ae3d644416c3aba7e63,2,0.9806338028169014,0.5807018582080865,0.7612209202929981,0.6490676869028447
666c0b10d644416c3aba7e68,3,0.9862261806130903,0.6133921174103603,0.7660548256861421,0.670984038065258
666c0b3cd644416c3aba7e6d,4,0.9188069594034797,0.5717599715942802,0.7097077563419689,0.6236486289584394
666c0b85d644416c3aba7e72,5,0.9202568351284176,0.5801396614984119,0.7129458121276624,0.6296285805418551
666c0bb6d644416c3aba7e77,6,0.9867439933719967,0.5837673097408126,0.7665312134243341,0.6529170870654184
666c0be4d644416c3aba7e7c,7,0.9863297431648715,0.6163352665009824,0.7662297313291494,0.6729139869711809
666c0c10d644416c3aba7e81,8,0.9867439933719967,0.5971515366710222,0.7665312134243359,0.6610822671858579
666c0c5ad644416c3aba7e86,9,0.9859154929577465,0.6082396338817379,0.7658299470022738,0.6673938420144165
666c0c88d644416c3aba7e8b,10,0.9761806130903066,0.5932970371247234,0.7574224760326634,0.6553280057977932
666c0cb5d644416c3aba7e90,11,0.9866404308202155,0.5744565431806677,0.7664483633829099,0.647108300436417
666c0ce2d644416c3aba7e95,12,0.9867439933719967,0.6078036848542392,0.7665312134243345,0.6677526381478605
666c0d2cd644416c3aba7e9a,13,0.945215410107705,0.6082988124827466,0.7316311266290526,0.6522021353044785
666c0d5ad644416c3aba7e9f,14,0.9860190555095277,0.5875192330453453,0.7659473178942917,0.6549492305640063
666c0d87d644416c3aba7ea4,15,0.9867439933719967,0.6029510395707736,0.7665312134243353,0.6648090890154137
666c0db4d644416c3aba7ea9,16,0.9867439933719967,0.5982759300903611,0.766531213424335,0.6619043577345438
666c0dfdd644416c3aba7eae,17,0.9484258492129246,0.5911338948725117,0.7361165358162012,0.6438795341276954
666c0e2bd644416c3aba7eb3,18,0.9867439933719967,0.5645835799108507,0.7665312134243346,0.6410093823242418
666c0e58d644416c3aba7eb8,19,0.9867439933719967,0.5979701739851029,0.7665312134243353,0.6617187797113517
