_id,version,acc,avg_pre,avg_recall,avg_f1,task,pretrained,classifier
66607288f61952bdcbf5f016,1,0.5162,0.5359,0.4567,0.4472,,,
666d2d750c924b94e4d30ee8,2,0.5298507462686567,0.5026041641306859,0.46244755962383105,0.44034597701704065,cls,distilbert-base-multilingual-cased,lstm
666d2d9d0c924b94e4d30eec,3,0.5066334991708126,0.48572318607158166,0.4663546147035542,0.4671510763002243,cls,distilbert-base-multilingual-cased,lstm
666d2dc50c924b94e4d30ef0,4,0.538971807628524,0.549781361943459,0.47203956934065383,0.4568326442000359,cls,distilbert-base-multilingual-cased,lstm
666d2e170c924b94e4d30ef4,5,0.5240464344941956,0.5203495547915015,0.46225293798786854,0.4504494294862463,cls,distilbert-base-multilingual-cased,lstm
666d2e410c924b94e4d30ef8,6,0.5240464344941956,0.5346937610270323,0.4540852155493389,0.43375272836876416,cls,distilbert-base-multilingual-cased,lstm
666d2e6a0c924b94e4d30efc,7,0.5281923714759535,0.5286086944938193,0.4626209138733059,0.44820818154679215,cls,distilbert-base-multilingual-cased,lstm
666d2e940c924b94e4d30f00,8,0.5265339966832504,0.49508556046569807,0.4641907586021155,0.4138350662459677,cls,distilbert-base-multilingual-cased,lstm
666d2ee60c924b94e4d30f04,9,0.5257048092868989,0.4941638876453515,0.4712924305831514,0.45716245397904265,cls,distilbert-base-multilingual-cased,lstm
666d2f0f0c924b94e4d30f08,10,0.5099502487562189,0.4786156937407087,0.47769298900757445,0.4755283421498369,cls,distilbert-base-multilingual-cased,lstm
666d2f380c924b94e4d30f0c,11,0.5082918739635157,0.4691487917877346,0.4725771282719046,0.45958428218681885,cls,distilbert-base-multilingual-cased,lstm
666d2f600c924b94e4d30f10,12,0.5091210613598673,0.45629117036089384,0.46221054635547026,0.4313381482549714,cls,distilbert-base-multilingual-cased,lstm
666d2fb10c924b94e4d30f14,13,0.5298507462686567,0.525597033685269,0.4958166230473285,0.5002430533746733,cls,distilbert-base-multilingual-cased,lstm
666d2fdb0c924b94e4d30f18,14,0.5290215588723052,0.5581356665641125,0.4668354404176798,0.4572934605733386,cls,distilbert-base-multilingual-cased,lstm
666d30030c924b94e4d30f1c,15,0.521558872305141,0.44514205304373267,0.4645901153063412,0.42654542128472855,cls,distilbert-base-multilingual-cased,lstm
666d302c0c924b94e4d30f20,16,0.5348258706467661,0.5108877052037262,0.49620331731590284,0.4962062328587981,cls,distilbert-base-multilingual-cased,lstm
666d307f0c924b94e4d30f24,17,0.5074626865671642,0.4594847506137829,0.45012135017679517,0.41251074077663946,cls,distilbert-base-multilingual-cased,lstm
666d30aa0c924b94e4d30f28,18,0.5281923714759535,0.4974732327015903,0.48308195095321166,0.47964748726786127,cls,distilbert-base-multilingual-cased,lstm
666d30d30c924b94e4d30f2c,19,0.5265339966832504,0.5089741820796019,0.4968769588925588,0.4997413583747705,cls,distilbert-base-multilingual-cased,lstm
666d30fd0c924b94e4d30f30,20,0.5356550580431177,0.5067478216290408,0.48254768425523026,0.4743418414900267,cls,distilbert-base-multilingual-cased,lstm
666d31520c924b94e4d30f34,21,0.5240464344941956,0.49466367294567365,0.49127472299270397,0.4884640042061332,cls,distilbert-base-multilingual-cased,lstm
666d317d0c924b94e4d30f38,22,0.5165837479270315,0.5210937858797782,0.49592354355288787,0.5000716397722812,cls,distilbert-base-multilingual-cased,lstm
666d31a70c924b94e4d30f3c,23,0.527363184079602,0.48802066486972145,0.48238920010953557,0.472554900844339,cls,distilbert-base-multilingual-cased,lstm
666d31d00c924b94e4d30f40,24,0.521558872305141,0.5398666138628726,0.5023328060254696,0.5065866362165702,cls,distilbert-base-multilingual-cased,lstm
666d32240c924b94e4d30f44,25,0.5364842454394693,0.5065203821310319,0.48783589175092973,0.4775349785060555,cls,distilbert-base-multilingual-cased,lstm
666d324f0c924b94e4d30f48,26,0.5232172470978441,0.5375637397320739,0.4789341334230935,0.4798754444338968,cls,distilbert-base-multilingual-cased,lstm
666d32780c924b94e4d30f4c,27,0.538971807628524,0.5070749213921038,0.48634408616358044,0.4765422275924649,cls,distilbert-base-multilingual-cased,lstm
666d32a20c924b94e4d30f50,28,0.5439469320066335,0.5460143481420077,0.4830706373422275,0.4745680196015767,cls,distilbert-base-multilingual-cased,lstm
666d32f60c924b94e4d30f54,29,0.5315091210613598,0.5509319636712677,0.5144223930880278,0.5164287456587577,cls,distilbert-base-multilingual-cased,lstm
666d33210c924b94e4d30f58,30,0.5223880597014925,0.5118856397604803,0.49220336400175246,0.49644589024264457,cls,distilbert-base-multilingual-cased,lstm
666d334b0c924b94e4d30f5c,31,0.538971807628524,0.5278725533317107,0.4987076167633471,0.5011281898976744,cls,distilbert-base-multilingual-cased,lstm
666d33740c924b94e4d30f60,32,0.5439469320066335,0.5364510081795842,0.49353277660457556,0.4917002561556953,cls,distilbert-base-multilingual-cased,lstm
666d33c80c924b94e4d30f64,33,0.5190713101160862,0.4852645318422437,0.4855943984027274,0.4811514682963323,cls,distilbert-base-multilingual-cased,lstm
666d33f40c924b94e4d30f68,34,0.538971807628524,0.5542858397269145,0.4938772278867352,0.4954069041212413,cls,distilbert-base-multilingual-cased,lstm
666d341e0c924b94e4d30f6c,35,0.533167495854063,0.5726311664837543,0.5011982297694743,0.5027643935290761,cls,distilbert-base-multilingual-cased,lstm
666d34470c924b94e4d30f70,36,0.5290215588723052,0.4892345380717474,0.4720083646948832,0.457687032577805,cls,distilbert-base-multilingual-cased,lstm
666d349a0c924b94e4d30f74,37,0.543117744610282,0.5176470440812335,0.4824569331294571,0.46831288522347386,cls,distilbert-base-multilingual-cased,lstm
666d34c50c924b94e4d30f78,38,0.5348258706467661,0.522230348011405,0.4825026169951248,0.4790406837716122,cls,distilbert-base-multilingual-cased,lstm
