,_id,version,acc,avg_pre,avg_recall,avg_f1
0,66607288f61952bdcbf5f016,1,0.5383,0.5726,0.4921,0.485
1,666b0b98da6d6158758e14f8,2,0.5401822700911351,0.5189951523160726,0.48682009405737103,0.4685909625135815
2,666b0bd9da6d6158758e14fc,3,0.5418392709196355,0.5378142083154546,0.48453125171565353,0.46234341981963545
3,666b0e1eda6d6158758e1520,12,0.5339685169842585,0.5413914114581149,0.48408597962464456,0.47558256603059323
4,666b0e9fda6d6158758e1528,14,0.5343827671913836,0.5213501900955556,0.4781896642438612,0.45783912123208625
5,666b0edfda6d6158758e152c,15,0.5124275062137531,0.5525245527599703,0.47866137803348646,0.4711642978631743
6,666b0fe1da6d6158758e153c,19,0.5144987572493787,0.505157693561423,0.47092175529055896,0.46496127328910924
7,666b1062da6d6158758e1544,21,0.543910521955261,0.5242190204741596,0.4951390192632757,0.48410556779013625
8,666b1164da6d6158758e1554,25,0.5057995028997514,0.4897509935506668,0.468433068730491,0.4504390012465489
9,666b11a5da6d6158758e1558,26,0.5273405136702568,0.5773742112223069,0.4835889918507235,0.47266992588798296
10,666b11e5da6d6158758e155c,27,0.5248550124275062,0.589616531745999,0.47430393283003985,0.45642970101069064
11,666b1266da6d6158758e1564,29,0.5178127589063795,0.48371023910372907,0.4670614445895345,0.4423233138888136
12,666b12a7da6d6158758e1568,30,0.5227837613918807,0.550821317872659,0.467785134011175,0.4540994874014071
13,666b12e7da6d6158758e156c,31,0.527754763877382,0.4997017254105461,0.48808594529017535,0.4825373837814562
