,_id,version,acc,avg_pre,avg_recall,avg_f1
0,66607288f61952bdcbf5f016,1,0.5702,0.585,0.5459,0.5454
1,666921fd9baa6e7c73c33cfc,2,0.5289975144987572,0.5411906983554041,0.4750254641199783,0.4601040990440091
2,6669225f9baa6e7c73c33d00,3,0.5095277547638773,0.5214628241359808,0.4590185156939948,0.44175106161089545
3,666922c29baa6e7c73c33d04,4,0.5294117647058824,0.5394322754280417,0.47632584546001594,0.4631682121182503
4,666923249baa6e7c73c33d08,5,0.5443247721623861,0.5567395692898608,0.5065319738155165,0.5044733029590937
5,666923869baa6e7c73c33d0c,6,0.527754763877382,0.5476345194645894,0.5143253847814324,0.508722846199861
6,666923e99baa6e7c73c33d10,7,0.5401822700911351,0.5500228526728099,0.5275656878432821,0.5241328469372245
7,6669244b9baa6e7c73c33d14,8,0.531897265948633,0.538668552199233,0.5170655823332625,0.513736777233098
8,666924ae9baa6e7c73c33d18,9,0.5306545153272577,0.5357805348389144,0.4980829065429198,0.496856455807359
9,666925119baa6e7c73c33d1c,10,0.528169014084507,0.5263322933265487,0.4771786498488415,0.4655604378685587
10,666925749baa6e7c73c33d20,11,0.5153272576636289,0.5494086224934146,0.451850608327806,0.4201709317157159
11,666925d79baa6e7c73c33d24,12,0.5194697597348799,0.548039012628918,0.4496018473216094,0.40508924454062994
12,6669263b9baa6e7c73c33d28,13,0.5186412593206297,0.5174511654111186,0.46360051052714635,0.44073120139397703
13,6669269e9baa6e7c73c33d2c,14,0.5356255178127589,0.5375933280781214,0.4869068289425196,0.4771206201248945
14,666927019baa6e7c73c33d30,15,0.5294117647058824,0.5267926459003427,0.49442266015299724,0.4950083005511238
15,666927649baa6e7c73c33d34,16,0.5364540182270091,0.5700628641577332,0.5029947287052376,0.49621474984586156
16,666927c79baa6e7c73c33d38,17,0.5401822700911351,0.5670301551683329,0.5044041721173248,0.4995710388575061
17,666928299baa6e7c73c33d3c,18,0.5285832642916322,0.5548758821368808,0.4805282597747899,0.47310793174460697
18,6669288c9baa6e7c73c33d40,19,0.5244407622203812,0.5231823667547765,0.4771673150721399,0.46600706289910726
19,666928ee9baa6e7c73c33d44,20,0.5323115161557581,0.5301007998078341,0.4790342334955686,0.46015700484775324
20,666929529baa6e7c73c33d48,21,0.5405965202982601,0.5581834270388191,0.4854224011527382,0.46984253811858273
21,666929b59baa6e7c73c33d4c,22,0.5260977630488816,0.558205229896286,0.4638424352568437,0.4380675310132116
22,66692a189baa6e7c73c33d50,23,0.5306545153272577,0.5210152716371463,0.48221566199094285,0.47227020241495565
23,66692a7a9baa6e7c73c33d54,24,0.5153272576636289,0.502218223077853,0.4992543502127111,0.498998650250537
24,66692add9baa6e7c73c33d58,25,0.46727423363711684,0.46996168883663,0.45339924206414617,0.4479399395704462
25,66692b3f9baa6e7c73c33d5c,26,0.5289975144987572,0.5632237727797791,0.47399752703784426,0.458401990512177
26,66692ba19baa6e7c73c33d60,27,0.48218724109362054,0.5729603955039505,0.42319362114471165,0.3736563932342885
27,66692c049baa6e7c73c33d64,28,0.4755592377796189,0.5699627822265944,0.42742077755296526,0.37846208538915604
28,66692c679baa6e7c73c33d68,29,0.4871582435791218,0.5502368218875636,0.4483482295775752,0.41058596616477033
29,66692cca9baa6e7c73c33d6c,30,0.5103562551781275,0.5492589111428554,0.45789421466883456,0.4354851966268096
30,66692d2c9baa6e7c73c33d70,31,0.5273405136702568,0.5594193699325802,0.46441811230310903,0.43754770536213644
31,66692d8f9baa6e7c73c33d74,32,0.5144987572493787,0.5290059897528171,0.4512979370877586,0.41736366828263116
32,66692df19baa6e7c73c33d78,33,0.5352112676056338,0.5594557780197009,0.4730048720465112,0.4426883053230428
33,66692e539baa6e7c73c33d7c,34,0.5252692626346314,0.5577876502586874,0.4614903529311989,0.4279581758868684
