_id,version,acc,avg_pre,avg_recall,avg_f1,task,pretrained,classifier
66607288f61952bdcbf5f016,1,0.4602,0.4327,0.4293,0.4168,,,
666fe35b97af7b4067f53386,2,0.521558872305141,0.5713746040140963,0.47850587883854856,0.47120066766173946,cls,distilbert-base-multilingual-cased,lstm
666fe37797af7b4067f5338a,3,0.5066334991708126,0.579271766376273,0.4893031982779968,0.4780136952800196,cls,distilbert-base-multilingual-cased,lstm
666fe39497af7b4067f5338e,4,0.5207296849087893,0.555847989852014,0.4688901187967692,0.4625039871693452,cls,distilbert-base-multilingual-cased,lstm
666fe3b097af7b4067f53392,5,0.538971807628524,0.5344161094238009,0.49053989432481754,0.4907431864352259,cls,distilbert-base-multilingual-cased,lstm
666fe3cc97af7b4067f53396,6,0.5315091210613598,0.494111017714268,0.4734411413104696,0.4532279572491778,cls,distilbert-base-multilingual-cased,lstm
666fe3e897af7b4067f5339a,7,0.5422885572139303,0.5214881914705435,0.4822845368207663,0.46839626096413944,cls,distilbert-base-multilingual-cased,lstm
666fe40497af7b4067f5339e,8,0.5439469320066335,0.5259414542399995,0.48077622051840896,0.46605757125512826,cls,distilbert-base-multilingual-cased,lstm
666fe42097af7b4067f533a2,9,0.5381426202321725,0.5204128280267925,0.4743745885396589,0.4593733644345568,cls,distilbert-base-multilingual-cased,lstm
666fe43c97af7b4067f533a6,10,0.5348258706467661,0.5050064261541243,0.4778083878396135,0.4684092556231331,cls,distilbert-base-multilingual-cased,lstm
666fe45897af7b4067f533aa,11,0.5398009950248757,0.5166902399627973,0.4852100769644861,0.47808319792863835,cls,distilbert-base-multilingual-cased,lstm
666fe47497af7b4067f533ae,12,0.5298507462686567,0.4919774443729219,0.48674214359180007,0.4799101457527157,cls,distilbert-base-multilingual-cased,lstm
666fe49197af7b4067f533b2,13,0.548922056384743,0.553043521302793,0.4853587229482203,0.47426771037454646,cls,distilbert-base-multilingual-cased,lstm
666fe4ad97af7b4067f533b6,14,0.5306799336650083,0.5358100287597006,0.4596426759756489,0.4388906155094172,cls,distilbert-base-multilingual-cased,lstm
666fe4c997af7b4067f533ba,15,0.5348258706467661,0.5198229219993838,0.4716233110375369,0.457862994271739,cls,distilbert-base-multilingual-cased,lstm
666fe4e597af7b4067f533be,16,0.5348258706467661,0.5006678809957499,0.47947926228870114,0.46710632462933416,cls,distilbert-base-multilingual-cased,lstm
666fe50197af7b4067f533c2,17,0.5472636815920398,0.5159868803686836,0.48981797033048186,0.4776339618064443,cls,distilbert-base-multilingual-cased,lstm
666fe51e97af7b4067f533c6,18,0.5364842454394693,0.49471754981613425,0.48128634600755066,0.4693470860170234,cls,distilbert-base-multilingual-cased,lstm
666fe53a97af7b4067f533ca,19,0.5339966832504146,0.49729685167829496,0.47677530926347456,0.46433623994599604,cls,distilbert-base-multilingual-cased,lstm
666fe55697af7b4067f533ce,20,0.5381426202321725,0.5106069578462217,0.4772728218656261,0.46388095837686866,cls,distilbert-base-multilingual-cased,lstm
